read amount,comments,title,content link,author,create time
1885,6,贵州茅台今日现7790.77万元大宗交易,"/news,600519,1492025279.html",贵州茅台资讯,12-02 08:58
480,7,白酒如何借低度、果味趋势撬动年轻市场,"/news,600519,1492012953.html",贵州茅台资讯,12-02 08:25
916,4,14只白酒股上涨 贵州茅台微跌0.05%,"/news,600519,1491978073.html",贵州茅台资讯,12-02 06:00
473,1,大宗交易：贵州茅台成交7790.77万元，折价0.03%（12-02）,"/news,600519,1491963326.html",贵州茅台资讯,12-02 05:21
3500,24,中国白酒出海“进化论”：破“内卷”求增长 头部酒企驶向国际市场新蓝海,"/news,600519,1491962931.html",贵州茅台资讯,12-02 05:16
1610,2,观酒周报｜汾酒、茅台提出国际化目标；青岛啤酒将提高分红率；蛇年生肖酒热潮提前到来,"/news,600519,1491957670.html",贵州茅台资讯,12-02 05:00
1331,20,白酒板块午盘拉升 贵州茅台股价微涨0.05%,"/news,600519,1491913640.html",贵州茅台资讯,12-02 02:59
854,6,持续加码投资业务？茅台出资2亿元成立企管合伙企业,"/news,600519,1491807966.html",贵州茅台资讯,12-02 01:32
889,4,茅台集团旗下基金公司成立一支2亿元新基金,"/news,600519,1491775952.html",贵州茅台资讯,12-02 12:03
696,2,茅台在贵州投资成立企管合伙企业,"/news,600519,1491752588.html",贵州茅台资讯,12-02 12:03
826,6,茅台在贵州成立赤源企管合伙企业，出资额2亿,"/news,600519,1491671865.html",贵州茅台资讯,12-02 10:28
3663,15,12月1日机构推荐7只个股,"/news,600519,1491710391.html",贵州茅台资讯,12-02 09:26
1233,2,国信证券发布贵州茅台研报，持续加强消费者层面的触达和转化，国际化思路清晰,"/news,600519,1491494762.html",贵州茅台资讯,12-01 10:49
5276,34,今日散花飞天批发参考价下跌20元 报2880元/瓶,"/news,600519,1491430598.html",贵州茅台资讯,12-01 09:56
1626,16,茅台集团赴德国、西班牙、法国考察交流,"/news,600519,1491486089.html",贵州茅台资讯,11-30 10:14
1887,0,贵州茅台今日大宗交易成交3.55万股 成交额5415.92万元,"/news,600519,1491229096.html",贵州茅台资讯,11-29 08:46
3714,1,8只个股大宗交易超5000万元,"/news,600519,1491215942.html",贵州茅台资讯,11-29 07:38
2979,9,五粮液豪掷100亿分红 巨头们接连“放大招”传递啥信号？,"/news,600519,1491206010.html",贵州茅台资讯,11-29 06:34
