icons,is_cre_manual,hqChart,intime,channelid,ctime,mtime,authoruid,level,vid,ipad_vid,video_time_length,categoryid,mediaid,templateid,productid,ext_0,ext_1,ext_2,ext_3,ext_4,docid,url,urls,wapurl,wapurls,wapsummary,title,stitle,summary,intro,author,commentid,video_id,keywords,media_name,columnid,subjectid,img,images,lids,oid,mlids,ext,important,comment_reply,comment_show,comment_total
,0,"{""stockCharts"":""no"",""stockCode"":"""",""stockMarket"":"""",""mulStockChart"":"""",""isStaticStock"":""""}",2024-12-03 15:40:50+08:00,31,2024-12-03 15:40:48+08:00,2024-12-03 15:40:48+08:00,0,2,0,0,0,1,0,0,0,0,0,0,0,0,comos:ncyekxv1658350,https://finance.sina.com.cn/stock/usstock/c/2024-12-03/doc-incyekxv1658350.shtml,"[""https:\/\/finance.sina.com.cn\/stock\/usstock\/c\/2024-12-03\/doc-incyekxv1658350.shtml""]",https://finance.sina.cn/usstock/mggd/2024-12-03/detail-incyekxv1658350.d.html,"[""https:\/\/finance.sina.cn\/usstock\/mggd\/2024-12-03\/detail-incyekxv1658350.d.html"",""http:\/\/finance.sina.cn\/usstock\/mggd\/2024-12-03\/detail-incyekxv1658350.d.html""]",,奥特曼资助的研究发现：普遍基本收入让人更勤奋,,,当地时间周一，由OpenAI首席执行官萨姆·奥特曼资助的一项研究公布了令人惊讶的发现，挑战了反对普遍基本收入计划的核心论点。该研究显示，领取基本收入的人没有变懒...,,cj:comos-ncyekxv1658350:0,0,"奥特曼,人工智能,普遍基本收入",环球市场播报,"1840,1850,2018,2032",,"{'u': 'http://n.sinaimg.cn/finance/c30320b4/20210712/wx_poster_finance1.png', 'w': 100, 'h': 100, 't': ''}",[],"295,747,1059,1083,1084,1131,1134,2509,2516,2517,2518,2519,2544,2671,2672,2676,3076,3318",763653556,,1,,,,
,0,"{""stockCharts"":""no"",""stockCode"":"""",""stockMarket"":"""",""mulStockChart"":"""",""isStaticStock"":""""}",2024-12-03 15:36:17+08:00,31,2024-12-03 15:36:13+08:00,2024-12-03 15:36:13+08:00,0,2,0,0,0,1,0,0,0,0,0,0,0,0,comos:ncyekxv1656022,https://finance.sina.com.cn/stock/usstock/c/2024-12-03/doc-incyekxv1656022.shtml,"[""https:\/\/finance.sina.com.cn\/stock\/usstock\/c\/2024-12-03\/doc-incyekxv1656022.shtml""]",https://finance.sina.cn/usstock/mggd/2024-12-03/detail-incyekxv1656022.d.html,"[""https:\/\/finance.sina.cn\/usstock\/mggd\/2024-12-03\/detail-incyekxv1656022.d.html"",""http:\/\/finance.sina.cn\/usstock\/mggd\/2024-12-03\/detail-incyekxv1656022.d.html""]",,英国国家统计局下调劳动力市场不活跃率的估计,,, 英国国家统计局表示，英国国内退出劳动力市场的问题比以往估计略有改善，这是由于统计局根据新的人口估计调整了计算，并做出了其他改变。,,cj:comos-ncyekxv1656022:0,,,环球市场播报,"1840,1850,2018,2032",,"{'u': 'http://n.sinaimg.cn/finance/c30320b4/20210712/wx_poster_finance1.png', 'w': 100, 'h': 100, 't': ''}",[],"295,747,1059,1083,1084,1131,1134,2509,2516,2517,2518,2519,2544,2671,2672,2676,3076,3318",763652352,,,,,,
,0,"{""stockCharts"":""no"",""stockCode"":"""",""stockMarket"":"""",""mulStockChart"":"""",""isStaticStock"":""""}",2024-12-03 15:38:49+08:00,31,2024-12-03 15:29:00+08:00,2024-12-03 15:38:44+08:00,0,2,0,0,0,1,0,0,0,0,0,0,0,0,comos:ncyekxv1652498,https://finance.sina.com.cn/jjxw/2024-12-03/doc-incyekxv1652498.shtml,"[""https:\/\/finance.sina.com.cn\/jjxw\/2024-12-03\/doc-incyekxv1652498.shtml""]",https://finance.sina.cn/2024-12-03/detail-incyekxv1652498.d.html,"[""https:\/\/finance.sina.cn\/2024-12-03\/detail-incyekxv1652498.d.html"",""http:\/\/finance.sina.cn\/2024-12-03\/detail-incyekxv1652498.d.html""]",,草姬集团通过上市聆讯 由艺人郭晋安及其胞姐郭致因创办,,,证券时报网讯，草姬集团是一家本地保健品供应商，由艺人郭晋安及其胞姐郭致因创办，最近通过联交所上市聆讯。 股权结构上，郭致因及其丈夫李日胜分别持有公司90%和10%的股...,,cj:comos-ncyekxv1652498:0,,,证券时报网,"1850,2000,2015,2050",,"{'u': 'http://n.sinaimg.cn/finance/c30320b4/20210712/wx_poster_finance1.png', 'w': 100, 'h': 100, 't': ''}",[],"295,746,748,1082,1789,2509,2516,2517,2519,2544,2671,2674,3318",763650926,,,,,,
,0,"{""stockCharts"":""no"",""stockCode"":"""",""stockMarket"":"""",""mulStockChart"":"""",""isStaticStock"":""""}",2024-12-03 15:23:33+08:00,31,2024-12-03 15:23:01+08:00,2024-12-03 15:23:27+08:00,0,2,0,0,0,1,0,0,0,0,0,0,0,0,comos:ncyekxp1652899,https://finance.sina.com.cn/stock/usstock/c/2024-12-03/doc-incyekxp1652899.shtml,"[""https:\/\/finance.sina.com.cn\/stock\/usstock\/c\/2024-12-03\/doc-incyekxp1652899.shtml""]",https://finance.sina.cn/usstock/mggd/2024-12-03/detail-incyekxp1652899.d.html,"[""https:\/\/finance.sina.cn\/usstock\/mggd\/2024-12-03\/detail-incyekxp1652899.d.html"",""http:\/\/finance.sina.cn\/usstock\/mggd\/2024-12-03\/detail-incyekxp1652899.d.html""]",,瑞士汽配巨头Feintool拟关闭德国工厂，因电动汽车需求疲软,,, 瑞士汽车零部件供应商法因图尔（Feintool）周二表示，由于电动汽车需求疲软以及向可再生能源转型的不确定性，该公司将关闭其在德国的一个工厂，并裁员多达200人。,,cj:comos-ncyekxp1652899:0,,"德国,电动汽车,汽配巨头",环球市场播报,"1840,1850,2018,2032",,"{'u': 'http://n.sinaimg.cn/finance/c30320b4/20210712/wx_poster_finance1.png', 'w': 100, 'h': 100, 't': ''}",[],"295,747,1059,1083,1084,1131,1134,2509,2516,2517,2518,2519,2544,2671,2672,2676,3076,3318",763649357,,1,,,,
,0,"{""stockCharts"":""no"",""stockCode"":"""",""stockMarket"":"""",""mulStockChart"":"""",""isStaticStock"":""""}",2024-12-03 15:34:43+08:00,31,2024-12-03 15:18:35+08:00,2024-12-03 15:34:36+08:00,0,2,0,0,0,1,0,0,0,0,0,0,0,0,comos:ncyekxt4868963,https://finance.sina.com.cn/stock/gmwq/rightscase/2024-12-03/doc-incyekxt4868963.shtml,"[""https:\/\/finance.sina.com.cn\/stock\/gmwq\/rightscase\/2024-12-03\/doc-incyekxt4868963.shtml""]",https://finance.sina.cn/stock/ssgs/2024-12-03/detail-incyekxt4868963.d.html,"[""https:\/\/finance.sina.cn\/stock\/ssgs\/2024-12-03\/detail-incyekxt4868963.d.html"",""http:\/\/finance.sina.cn\/stock\/ssgs\/2024-12-03\/detail-incyekxt4868963.d.html""]",,金圆股份遭证监会立案，曾有多项违规记录，股民或可索赔,,,2024年11月29日晚间，金圆股份（000546），公告收到中国证监会《立案告知书》。公告显示：金圆环保股份有限公司及实际控制人之一赵辉于2024年11月29日分别收到中国证券监督...,,cj:comos-ncyekxt4868963:0,,,市场资讯,"1850,1884",,[],"[{'u': 'http://n.sinaimg.cn/finance/transform/105/w550h355/20241203/5f01-8037dcf7952ffbe6119f9087789046f6.png', 'w': '550', 'h': '355', 't': '（以上摘自金圆股份2023年年报）'}, {'u': 'https://n.sinaimg.cn/finance/transform/59/w550h309/20240510/45d5-3d4cbd5c878525d7cb882b5e5a497352.jpg', 'w': '550', 'h': '309', 't': ''}]","295,751,2509,2516,2517,2519,2544,2671,3318",763647723,,,,,,
,0,"{""stockCharts"":""no"",""stockCode"":"""",""stockMarket"":"""",""mulStockChart"":"""",""isStaticStock"":""""}",2024-12-03 15:28:26+08:00,31,2024-12-03 15:12:26+08:00,2024-12-03 15:28:23+08:00,0,2,0,0,0,1,0,0,0,0,0,0,0,0,comos:ncyekxt4865590,https://finance.sina.com.cn/roll/2024-12-03/doc-incyekxt4865590.shtml,"[""https:\/\/finance.sina.com.cn\/roll\/2024-12-03\/doc-incyekxt4865590.shtml""]",https://finance.sina.cn/2024-12-03/detail-incyekxt4865590.d.html,"[""https:\/\/finance.sina.cn\/2024-12-03\/detail-incyekxt4865590.d.html"",""http:\/\/finance.sina.cn\/2024-12-03\/detail-incyekxt4865590.d.html""]",,约560亿美元高额薪酬计划再次被美法官驳回 马斯克回应,,,中新网12月3日电 综合外媒报道，当地时间2日，美国特拉华州地方法院法官凯瑟琳·圣约翰·麦考密克宣布坚持其1月的裁定，认为特斯拉董事会在2018年批准马斯克的薪酬方案时过于...,,cj:comos-ncyekxt4865590:0,,"马斯克,特斯拉,法官",媒体滚动,"1840,1849,1850,2018,2032",,[],"[{'u': 'http://n.sinaimg.cn/sinakd20241203s/276/w640h436/20241203/b847-380f602f64f762e954163f34ba003647.jpg', 'w': '640', 'h': '436', 't': '资料图：马斯克。'}]","295,747,1059,1083,1084,1131,1134,2509,2516,2517,2518,2519,2544,2671,2672,2676,3076,3318",763646517,,,,,,
,0,"{""stockCharts"":""no"",""stockCode"":"""",""stockMarket"":"""",""mulStockChart"":"""",""isStaticStock"":""""}",2024-12-03 15:11:12+08:00,31,2024-12-03 15:08:27+08:00,2024-12-03 15:11:10+08:00,0,2,0,0,0,1,0,0,0,0,0,0,0,0,comos:ncyekxt4862959,https://finance.sina.com.cn/stock/gmwq/rightscase/2024-12-03/doc-incyekxt4862959.shtml,"[""https:\/\/finance.sina.com.cn\/stock\/gmwq\/rightscase\/2024-12-03\/doc-incyekxt4862959.shtml""]",https://finance.sina.cn/stock/ssgs/2024-12-03/detail-incyekxt4862959.d.html,"[""https:\/\/finance.sina.cn\/stock\/ssgs\/2024-12-03\/detail-incyekxt4862959.d.html"",""http:\/\/finance.sina.cn\/stock\/ssgs\/2024-12-03\/detail-incyekxt4862959.d.html""]",,ST美盛再次因违规信披被行政处罚，本次索赔条件明确！,,,"按照申万行业分类(2021)，美盛退属于传媒-影视院线-影视动漫制作。 美盛文化创意股份有限公司是一家生态型文化企业,成立于2002年6月...",,cj:comos-ncyekxt4862959:0,,,市场资讯,"1850,1884",,[],"[{'u': 'http://n.sinaimg.cn/finance/transform/770/w550h220/20241203/bc46-f3ed23561b59704c16d6a4faec6f88be.png', 'w': '550', 'h': '220', 't': ''}, {'u': 'https://n.sinaimg.cn/finance/transform/59/w550h309/20240510/45d5-3d4cbd5c878525d7cb882b5e5a497352.jpg', 'w': '550', 'h': '309', 't': ''}]","295,751,2509,2516,2517,2519,2544,2671,3318",763645232,,,,,,
,0,"{""stockCharts"":""\u671f\u8d27K\u7ebf\u56fe"",""stockCode"":""ih0"",""stockMarket"":""no"",""mulStockChart"":"""",""isStaticStock"":""""}",2024-12-03 15:07:18+08:00,31,2024-12-03 15:07:13+08:00,2024-12-03 15:07:13+08:00,0,2,0,0,0,1,0,0,0,0,0,0,0,0,comos:ncyekxp1642244,https://finance.sina.com.cn/money/future/fmnews/2024-12-03/doc-incyekxp1642244.shtml,"[""https:\/\/finance.sina.com.cn\/money\/future\/fmnews\/2024-12-03\/doc-incyekxp1642244.shtml""]",https://finance.sina.cn/futuremarket/qsyw/2024-12-03/detail-incyekxp1642244.d.html,"[""https:\/\/finance.sina.cn\/futuremarket\/qsyw\/2024-12-03\/detail-incyekxp1642244.d.html"",""http:\/\/finance.sina.cn\/futuremarket\/qsyw\/2024-12-03\/detail-incyekxp1642244.d.html""]",,股指期货窄幅震荡 IH主力合约涨0.45%,,,2024年12月3日，股指期货窄幅震荡，沪深300股指期货（IF）主力合约涨0.15%，上证50股指期货（IH）主力合约涨0.45%，中证500股指期货（IC）主力合约跌0.15%...,,cj:comos-ncyekxp1642244:0,,,市场资讯,"1978,1993,1995,2055,2241",,[],"[{'u': 'http://n.sinaimg.cn/finance/transform/635/w550h85/20241203/5fb5-53d51954a5bbce943c05fb1723194083.png', 'w': '550', 'h': '85', 't': ''}]","295,1107,2509,2516,2519,2544,3318",763645013,,,,,,
,0,"{""stockCharts"":""no"",""stockCode"":"""",""stockMarket"":"""",""mulStockChart"":"""",""isStaticStock"":""""}",2024-12-03 15:15:51+08:00,31,2024-12-03 15:05:15+08:00,2024-12-03 15:15:45+08:00,0,2,0,0,0,1,0,0,0,0,0,0,0,0,comos:ncyekxv1638970,https://finance.sina.com.cn/jjxw/2024-12-03/doc-incyekxv1638970.shtml,"[""https:\/\/finance.sina.com.cn\/jjxw\/2024-12-03\/doc-incyekxv1638970.shtml""]",https://finance.sina.cn/2024-12-03/detail-incyekxv1638970.d.html,"[""https:\/\/finance.sina.cn\/2024-12-03\/detail-incyekxv1638970.d.html"",""http:\/\/finance.sina.cn\/2024-12-03\/detail-incyekxv1638970.d.html""]",,外媒：业务精简 联合利华拟出售旗下食品品牌,,,来源：环球网 【环球网消费报道 记者 勃潺】12月2日，据荷兰金融日报透露，联合利华（伦敦证券交易所股票代码：ULVR）首席执行官海因舒马赫（Hein...,,cj:comos-ncyekxv1638970:0,,,环球网,"1840,1850,2018,2032",,[],"[{'u': 'http://n.sinaimg.cn/sinakd20241203s/229/w640h389/20241203/8bff-b4e60d079fb730d66f5c7f0f0af85380.png', 'w': '640', 'h': '389', 't': ''}]","295,747,1059,1083,1084,1131,1134,2509,2516,2517,2518,2519,2544,2671,2672,2676,3076,3318",763644798,,,,,,
,0,"{""stockCharts"":""\u671f\u8d27K\u7ebf\u56fe"",""stockCode"":""ru0"",""stockMarket"":""no"",""mulStockChart"":"""",""isStaticStock"":""""}",2024-12-03 15:03:37+08:00,31,2024-12-03 15:02:59+08:00,2024-12-03 15:03:33+08:00,0,2,0,0,0,1,0,0,0,0,0,0,0,0,comos:ncyekxq8413200,https://finance.sina.com.cn/money/future/fmnews/2024-12-03/doc-incyekxq8413200.shtml,"[""https:\/\/finance.sina.com.cn\/money\/future\/fmnews\/2024-12-03\/doc-incyekxq8413200.shtml""]",https://finance.sina.cn/futuremarket/qsyw/2024-12-03/detail-incyekxq8413200.d.html,"[""https:\/\/finance.sina.cn\/futuremarket\/qsyw\/2024-12-03\/detail-incyekxq8413200.d.html"",""http:\/\/finance.sina.cn\/futuremarket\/qsyw\/2024-12-03\/detail-incyekxq8413200.d.html""]",,收评：橡胶、20号胶、棕榈油涨超2%,,,午盘收盘，国内期货主力合约涨跌不一。橡胶、20号胶、棕榈油涨超2%，氧化铝、沪银、铁矿石、苹果、BR橡胶、热卷涨超1%；跌幅方面，红枣、菜粕、豆油、PVC、生猪...,,cj:comos-ncyekxq8413200:0,,"橡胶,棕榈油",新浪期货,"1978,1995",,[],"[{'u': 'http://n.sinaimg.cn/finance/transform/793/w550h243/20241203/e9af-9a106f7e59f3ae81efd4aaab3b07f864.png', 'w': '550', 'h': '243', 't': ''}]","295,1107,2509,2516,2519,2544,3318",763643930,,,,,,
