content,date,user,reposts,comments,likes,url
同花顺有的时候，文件刷新不够准确。大千生态剩下58%流通，与我之前讲的一致。这个是在21号同花顺公布的十大股东数据里面的。就是十大股东4-10都出来了，第一个分成步步高同原股东5%。不过我觉得，这个有误，应该是同花顺更新问题。从龙虎榜数据分析发现，虽然第五股东可能是机构席 ​展开c,2024-11-27 21:19,属虎的老李1974升升升,0,2,2,https://weibo.com//weibo.com/7795128804/P2hl4kt5n?refer_flag=1001030103_
#a股#公司新闻1、格力地产公告，拟置入免税集团51%股权，将逐步退出房地产业务。2、华丰股份在互动平台表示，与中科院合作研发锂金属固态电池。3、万丰奥威公告，百年人寿持股比例降至5%以下。4、科大讯飞公告，拟推首期员工持股计划。5、华润双鹤公告，司美格鲁肽注射液获批临床试验。6 ​展开c,2024-11-25 08:57,遂昌快活林,0,1,23,https://weibo.com//weibo.com/1908417784/P1TCIo6Ut?refer_flag=1001030103_
【11月25日A股沪深两市重要公告】南京商旅(600250)拟购买黄埔酒店100%股权 股票复牌。盛航股份(001205)控股股东变更为万达控股集团，尚吉永将成为上市公司的实际控制人。大千生态(603955) 控股股东变更为苏州步步高，实际控制人变更为张源。梅花生物(600873)  ​展开c,2024-11-25 00:18,阿正悟道,0,4,19,https://weibo.com//weibo.com/2638656811/P1QenazBI?refer_flag=1001030103_
分钱逻辑精明的做事情赚钱，智慧的人投资赚钱。钱赚钱，远远大于人赚钱的速度和规模，段永平半辈子做步步高赚的钱也没有买股票赚的多，世界上任何一个富豪，他们手里的钱并不是公司利润的所得，而是证券市场的市盈率吹出来的泡沫价值。人赚钱，是赚的实实在在的钱，没有多出来的一分钱水分。钱赚钱， ​展开c,2024-11-08 08:35,大白老师卍,4,1,19,https://weibo.com//weibo.com/1899373067/OFgFLACS4?refer_flag=1001030103_
【大千生态：控股股东拟由大千投资变更为苏州步步高 股票明起复牌】财联社11月4日电，大千生态公告，公司控股股东大千投资、实际控制人栾剑洪、范荷娣与苏州步步高签署了《股份转让协议》，大千投资拟向苏州步步高协议转让其持有的大千生态2454.89万股股份（占公司已发行股份总数的18.09%），转让价格 ​展开c,2024-11-04 18:57,财联社APP,5,1,13,https://weibo.com//weibo.com/2868676035/OEJ28tTS4?refer_flag=1001030103_
12月题材强度排名：AI应用：利欧股份、星环科技、易点天下谷子：广博股份、齐心集团、万事利胖东来：永辉超市、中百集团、步步高商超：供销大集、新世界食品：桂发祥、泉阳泉、黑芝麻、一鸣食品电商：跨境通医药：葫芦娃纺织：洪兴股份华为：华胜天成机器人：南京化纤、山东矿机、爱仕达新 ​展开c,2024-12-02 22:52,一泉淘金,0,0,104,https://weibo.com//weibo.com/7827594939/P3357ipZL?refer_flag=1001030103_
1、空头怀抱线→买入（参见下图A）。2、连阳小上影→马上要见顶(参见下图B)。                                                          3、空头遭遇线→卖出（参见下图C）。 4、阳线阴上影→短期巳见顶（参见下图D）。                                                        5、空头插入线→买入 ​展开c,2024-12-02 16:14,擒牛小鳄鱼,0,0,209,https://weibo.com//weibo.com/5626009933/P30tzA6KF?refer_flag=1001030103_
今年大消费还得看胖东来，胖东来被称为消费领域的华为，于东来就是消费领域的任正非。华为爆改后股价爆涨的上市公司：赛力斯、长安汽车、江淮汽车。胖东来爆改后股价爆涨的上市公司：永辉超市、中百集团、步步高。 ​,2024-12-02 13:01,拾贝龙头,1,0,345,https://weibo.com//weibo.com/1341956631/P2Zddtvc4?refer_flag=1001030103_
国内市场快讯超话第二条1、格力地产公告，拟置入免税集团51%股权，将逐步退出房地产业务。2、华丰股份在互动平台表示，与中科院合作研发锂金属固态电池。3、万丰奥威公告，百年人寿持股比例降至5%以下。4、科大讯飞公告，拟推首期员工持股计划。5、华润双鹤公告，司美格鲁肽注射液获批临 ​展开c,2024-11-25 08:39,李世红--狙击手,0,0,0,https://weibo.com//weibo.com/2367801152/P1TvC3XqA?refer_flag=1001030103_
长线资金何时才会源源而至？1、A股从2700点涨到3600点，用了6个交易日；从3600点跌到3200点，也只用了4个交易日。2、本周五，涨停个股居然达80只；而80只涨停个股中，业绩亏损股却高达30只。2、还出现了罕见的一幕。股票代码后两位数相同的个股掀起涨停潮：渤海化学(600800)，东方精工(002 ​展开c,2024-11-23 22:07,龙升阳,0,0,1,https://weibo.com//weibo.com/2464740750/P1FWvCzHR?refer_flag=1001030103_
1. 11月22日晚间沪深上市公司重大事项公告最新快递2. 大千生态：公司控股股东变更为苏州步步高3. 永鼎股份：公司不直接生产制造可控核聚变装置，仅为绕制装置的磁体提供材料4. 吉峰科技：拟收购控股子公司少数股东股权5. 湖南发展：拟投资2475.2万元建设屋顶分布式光伏项目6. 鲁北化工：全资子公 ​展开c,2024-11-23 14:59 转赞人数超过400,陈志豪财经,3,0,428,https://weibo.com//weibo.com/5713382846/P1w7TiDgT?refer_flag=1001030103_
冥寥子超话#今日看盘#我不看已经过了10.8高点的股。看补涨的：谁的台阶步步高，谁的赚钱概率大。步步低的也不能看，忽高忽低的也讨厌。 ​,2024-11-22 10:33,冥寥子915,1,0,0,https://weibo.com//weibo.com/2788368131/P1rYocu8Q?refer_flag=1001030103_
#a股#公告涨停大千生态：11月5日公告，控股股东拟由大千投资变更为苏州步步高佛塑科技：11月15日公告，拟购买金力股份100%股份海宁皮城：11月15日公告，国有股权无偿划转 控股股东拟发生变更南京化纤：11月18日公告，拟购买南京工艺100%股份远 望 谷：11月19日公告，实控人拟1.81亿元协议转 ​展开c,2024-11-21 21:23,遂昌快活林,1,0,11,https://weibo.com//weibo.com/1908417784/P1mNSb0FI?refer_flag=1001030103_
发布了文章 《奥锐特获“增持”评级，盈利能力提升，未来业绩或将“步步高”》O奥锐特获“增持”评级，盈利能力提升，未来业绩或将“步步高”​,2024-11-05 14:44,览富财经,0,0,0,https://weibo.com//weibo.com/2739349497/OEQOfx1Ym?refer_flag=1001030103_
周三这些公司发布利好公告，第三季度业绩大增，有望迎来上涨！有没有你的持仓禾信仪器(688622) 筹划购买量羲技术的控制权，股票5日起复牌大千生态(603955)控股股东拟由大千投资变更为苏州步步高 ，股票5日起复牌。天地在线(002995)发行股份及支付现金购买资产并募集配套资金，股票5日起复牌。晶丰 ​展开c,2024-11-05 08:26,老梁有牛股,0,0,311,https://weibo.com//weibo.com/5597946411/OEOkGrSRz?refer_flag=1001030103_
大千生态：控股股东拟变更为苏州步步高，股票11月5日起复牌O大千生态：控股股东拟变更为苏州步步高，股票11月5日起复牌​,2024-11-04 19:31,第一财经网,0,0,0,https://weibo.com//weibo.com/1733360754/OEJg6z5CC?refer_flag=1001030103_
"#穿越,公司#【大千生态：公司控股股东将由大千投资变更为苏州步步高 股票将于明日上午复牌】 大千生态公告，公司控股股东大千投资与苏州步步高签署《股份转让协议》，拟以每股15元的价格将持有的万股股份转让给苏州步步高，股份转让总价款为人民币3.68亿。交易完成后，公司控股股东将变更为苏州步步高 ​展开c",2024-11-04 19:09,穿越而來的括,0,0,0,https://weibo.com//weibo.com/1723860137/OEJ7nCXCn?refer_flag=1001030103_
拼多多在线互助群超话V:jIEa/祝身体康佳赛蒙牛，美女飘柔多联想，生活富康乐百氏，事业捷达步步高，财源强生腾新浪，股票长虹冒紫光！ lQ8蜗牛1Q7车工访客芝麻 ​,2024-11-03 21:22,皮卡丘受伤123,0,13,0,https://weibo.com//weibo.com/7142885448/OEAyI6yuJ?refer_flag=1001030103_
【#步步高被申请破产#】10月16日，上市公司步步高商业连锁股份有限公司（以下简称步步高股份）复牌，这标志着步步高股份成功撤销了退市风险警示，公司股票简称由*ST步高变更为ST步步高，股票代码002251保持不变。但在摘星前不久，10月11日，天眼查信息显示，步步高股份的母公司步步高投资集团股份有限 ​展开c,2024-10-26 10:14,共工新闻社,0,0,0,https://weibo.com//weibo.com/7944767818/ODiLwqJIu?refer_flag=1001030103_
今日看盘超话新手看 k 线图，老手看成交量，炒股有门道的。1. 首先要走出误区才能找到正确出口。很多朋友对成交量非常陌生，给大家分享六个比较常见的量能图形，再配合下面这段量能的口诀，记熟背牢后或可悟出其中门道。2. 缩倍量。特征：当天量能较前一天放大一倍。后市意义：新手看 k 线图 ​展开c,2024-10-25 15:46,刀客擒龍头,18,0,0,https://weibo.com//weibo.com/5579672154/ODbvS8mae?refer_flag=1001030103_
热烈祝贺法尔胜、st步步高涨停！上海雅仕、st八菱、st九芝加油！胜利的时候我喜欢听的《汪明荃-万水千山总是情》，你也来听听吧！（来自 web 酷狗音乐）O网页链接​,2024-10-24 20:05 转赞人数超过200,花荣,19,26,277,https://weibo.com//weibo.com/1282871591/OD0pUkqlD?refer_flag=1001030103_
