content,date,user,reposts,comments,likes,url
步/步高手机广告……🎧@时代少年团-严浩翔（留下记忆的眼泪🥲）#青年演员严浩翔#​,2024-12-02 22:06,专严养猫,47,12,482,https://weibo.com//weibo.com/1860543902/P32MI9i1y?refer_flag=1001030103_
左奇函超话💙#左奇函 四代首位青年演员#💙#左奇函 四代第一rap担#【电影包场-衡阳应援礼包返图】地点：衡阳蒸湘步步高4F金逸影城电影包场负责人已就位～前来观影的宝宝记得找负责人领取电影票和礼包嗷～ ​,2024-11-23 13:14,左奇函-诗集存档馆,29,115,614,https://weibo.com//weibo.com/7842051004/P1CsegjLw?refer_flag=1001030103_
来看看晚上打折的步步高胖东来我都买了什么​,2024-11-15 23:08,不想上班想当老板的美丽,7,77,271,https://weibo.com//weibo.com/5536809799/P0sVt0LSP?refer_flag=1001030103_
我前段时间的分析，基本兑现。 ​,2024-08-15 13:19,财宝宝,6,133,1090,https://weibo.com//weibo.com/1565668374/OsncVi4PC?refer_flag=1001030103_
从永辉步步高被胖东来爆改就知道股民为啥不挣钱。罗翔老师说：世界就是一个巨大的草台班子大部分人都水到离谱。不信你看，步步高，永辉这种牛气烘烘的商业上市公司，被一个河南三线小城的商超胖东来各种爆改，像个小学生一样聆听于东来的教诲。上市公司听起来挺高大上的，现在看来并非如此，很多盈利 ​展开c,2024-06-13 07:23,王冠群,7,6,48,https://weibo.com//weibo.com/1286900981/OiKX8njDc?refer_flag=1001030103_
12月题材强度排名：AI应用：利欧股份、星环科技、易点天下谷子：广博股份、齐心集团、万事利胖东来：永辉超市、中百集团、步步高商超：供销大集、新世界食品：桂发祥、泉阳泉、黑芝麻、一鸣食品电商：跨境通医药：葫芦娃纺织：洪兴股份华为：华胜天成机器人：南京化纤、山东矿机、 ​展开c,2024-12-02 20:02,徐家川,21,17,110,https://weibo.com//weibo.com/1854441660/P31Ykvrf1?refer_flag=1001030103_
蒲熠星超话#蒲熠星音乐节#和大圆子打卡步步高大屏心动老师太牛了@心动悖论_EazinL正版_烟花三月下洋舟的微博视频​,2024-11-15 13:58,正版_烟花三月下洋舟,4,25,144,https://weibo.com//weibo.com/5864296694/P0pkfDnAS?refer_flag=1001030103_
【#于东来要花50亿建超大商业体#】11月17日晚，胖东来创始人于东来开直播，直播时长约2个半小时，超过400万人观看。在直播中，于东来分享了胖东来的管理理念、对永辉及步步高的调改经验、向山姆学习而非竞争的态度等方面。在谈及胖东来“自由之城”项目时，于东来介绍到，规划中是个超大商业体，规模 ​展开c,2024-11-18 11:28,蓝鲸新闻,168,362,4480,https://weibo.com//weibo.com/1885454921/P0QCM5qAt?refer_flag=1001030103_
#秋之虎狼迎风而上#🐕#rsg十一月步步高#当～当～当～当～偶遇女明星啦皮卡丘：多肉姐姐是有点漂酿rsg电竞俱乐部超话L浙江RSG和平精英分部的微博视频​,2024-11-20 15:38,浙江RSG和平精英分部,19,74,453,https://weibo.com//weibo.com/6144305093/P1b760ozo?refer_flag=1001030103_
分享一个喜木火的网名昵称“豆糕” 🌿豆，充满蓬勃活力，生命力强；糕，甜蜜，快乐，亲和力强。豆糕谐音都高，成绩高，业绩高，步步高，利年轻人上岸，事业。也适合宝宝当小名。#取网名##取昵称#​,2024-11-21 16:45,陶花象,51,93,534,https://weibo.com//weibo.com/2397725164/P1kYHhW6X?refer_flag=1001030103_
🔥点燃你的星座热情，点赞如火如荼，好运如潮涌动！🔥白羊座：如虎添翼，点赞成风，财富之路任你闯！金牛座：桃花盛开，点赞成海，爱情甜蜜如蜜糖！双子座：职场飞跃，点赞如星，成功之门为你开！巨蟹座：真爱降临，点赞如歌，幸福生活你主宰！狮子座：英勇无畏，点赞如剑，未来辉煌你独 ​展开c,2024-11-18 09:26,海底火山珍珠饭,5,2,174,https://weibo.com//weibo.com/1950407950/P0PPkpTWW?refer_flag=1001030103_
Reno13发布会官宣，邀请函也来了！「翅膀」贯穿了整个主题，可以陪你翩翩起舞，也可以带你去人生的旷野，探寻不被定义的生命力。这次代言人是Reno Girl 「蝴蝶仙子」——#宋雨琦#，舞台上绽放的生命力，是对此最贴切的诠释！发布会地点是设在浙江大学，而这里恰恰也是步步高、OPPO、一加三位创始 ​展开c,2024-11-17 14:03,纵有西风起,44,34,234,https://weibo.com//weibo.com/2557459351/P0IdiA7JA?refer_flag=1001030103_
小雪话吉祥小雪节气是你的转折点。宜念诵三遍：“小雪到，事业家庭芝麻开花节节高；小雪到，吉祥如意一天更比一天；小雪到，事事顺心好运连连无烦恼！”小雪后，接收您的：“步步高！”#小雪#​,2024-11-22 09:00,焕祥_81,61,1294,929,https://weibo.com//weibo.com/5214609492/P1rmFCDlv?refer_flag=1001030103_
