content,date,user,reposts,comments,likes,url
我投资茅台的时候，茅台已经上涨了10倍，但我买入茅台后，茅台又上涨了10倍。我买入赛力斯的时候，赛力斯已经上涨了10倍，但我买入赛力斯后，赛力斯还会上涨10倍。每次我买入一个股票的时候，身边的人都说我在意淫，一个上涨了10倍的股票，还能上涨10倍，99%的人说我在意淫。 ​,2024-12-02 16:03,红树西岸,6,11,95,https://weibo.com//weibo.com/1657996683/P30pszwoP?refer_flag=1001030103_
老衲法号：倒满！！2北京·茅台大厦​,2024-12-02 21:25,7分醉Chok,0,3,14,https://weibo.com//weibo.com/2065223842/P32vZ0W62?refer_flag=1001030103_
刚打电话问过了，暂时没回购的原因系于茅台公司需要招标引进适合的券商进行回购操作，目的是找靠谱的券商进行操作以起到稳定股价的作用。为什么要稳定股价？仅仅60亿能起到哪门子稳定股价？来个600亿稳定股价还差不多！应该乘现在低估，抓紧回购！@贵州茅台官微​,2024-12-02 11:08,做优秀企业股东,18,87,163,https://weibo.com//weibo.com/7025227012/P2YtG2ZYS?refer_flag=1001030103_
第二，从A股大盘技术走势上看，也是很有特色的，主要表现在：一是，昨天文章指出，A股大盘今天会冲击3340-3350点这个区间，整个上午大盘指数都在这个区间上方运行，临近午盘继续做午盘收盘价，向上冲了一下，而且是动用贵州茅台带领的白酒板块，这实属败笔。A股上午走势这么好，还玩老套路，就有点 ​展开c,2024-12-02 12:04,股绽放,0,8,211,https://weibo.com//weibo.com/5489619284/P2YQqFfoH?refer_flag=1001030103_
#股市午评##股票#A股超话早上A股大盘主要指数基本平开后小幅回踩了一下，但是主力超大态度非常积极，超大线一路走高，各大指数都是平开高走，上证指数收复3350后开始震荡整理，中午前继续推高，收于3360点。量能也是同步放大，两市达到1.12万亿，较上周五上午放大1500多亿。很显然，上午A股 ​展开c,2024-12-02 12:13,强度榜,10,19,81,https://weibo.com//weibo.com/5900008118/P2YTVzRaB?refer_flag=1001030103_
昨天小王2岁生日（哥们的儿子），去了丽泽天街，妈呀再次感叹北京真大。26站地铁🚇！丽泽天街都布置上了～看起来比常营天街效益好哇。图2是好奇，弄了一勺茅台，抿了一小点儿，给我辣的直接上头。感觉天灵盖瞬间就晕了，完全get不到好喝的点小张说我脸一下子就红了。今天启动小车一 ​展开c,2024-12-02 12:31,瞳音嘤嘤嘤,1,30,157,https://weibo.com//weibo.com/2520411855/P2Z1mA7B1?refer_flag=1001030103_
被我猜对了……今日是场外观看🐟没猜到会上茅台姐…… ​,2024-12-02 11:33,Luckystart-ws,0,20,177,https://weibo.com//weibo.com/6191793375/P2YDCqBsL?refer_flag=1001030103_
我预测一波2025年会贬值的「东西」1、「黄金」 菜市场的大妈们都知道买黄金赚钱，我认为这事到临界点了。2、「老师」 2018年出生率降低，老师这一波的岗位即将过剩。3、「户口」 除了极个别城市吧，没有必要为了户口冲一套房子。4、「学区房」 和老师一个道理，学区房这东西估计也要消失了。​展开c,2024-12-01 23:02,鱼老斯Leetime,40,82,281,https://weibo.com//weibo.com/3099488525/P2TILeqqp?refer_flag=1001030103_
看来这个事情给市场对赛力斯的信心有很大正面影响，不过我觉得跟茅台还是没啥可比性，也没必要这么比喻​,2024-12-02 10:13,一针见车,0,8,58,https://weibo.com//weibo.com/7348359537/P2Y727MBK?refer_flag=1001030103_
茅台五糧液加油啊​,2024-12-02 09:47,艷茹君寧,0,14,53,https://weibo.com//weibo.com/3835549189/P2XWRqbR2?refer_flag=1001030103_
发现这个游戏已经接近尾声，没有想到这里的日期“明年底”指的是2024.12.31。我与茅台PK的正式赌局截止期我记得好像是2025.12.31，是不是？,11分钟前 转赞人数超过70,李驰,6,23,72,https://weibo.com//weibo.com/1244748717/P32pxaB4M?refer_flag=1001030103_
12月3日-5日，由中国酒类流通协会主办、澳门鸡尾酒调酒师协会联合主办，茅台保健酒、五粮液等企业特别支持的首届白酒国际调酒大赛暨中国澳门莲花杯调酒大赛，将在澳门开启。据悉，本次大赛是首次全部使用白酒作为基酒的国际鸡尾酒赛事，旨在在共同成长与互利共赢中促进全球酒文化的交流与融合。 ​,2024-12-03 00:24,酒业时报,0,0,0,https://weibo.com//weibo.com/2620298413/P33GhiPS5?refer_flag=1001030103_
我被表妹骗了劲酒和茅台真的没有太大差别我应该买3瓶 ​,2024-12-03 00:23,泡芙的十三妖,0,1,0,https://weibo.com//weibo.com/2077134205/P33FTdUIH?refer_flag=1001030103_
#贵州茅台—茅苹投资#季克良在致辞中表示，66年前，茅台以“飞天”为商标，在香港和澳门，让茅台美酒走出国门、走向世界。66年后，茅台遵循“顺天敬人 明理厚德”的核心价值观，溯源“飞天”文化根脉，将敦煌飞天文化和茅台酒文化创新融合，推出“散花飞天”茅台酒这款匠心之作和文化精品。今天，我们 ​展开c,2024-12-03 00:22,茅苹投资,0,0,0,https://weibo.com//weibo.com/1684080354/P33FEwQD4?refer_flag=1001030103_
我以前没想到过网购实物不符合是这样的，我一直以为可能是身材不同类型导致的？图上的是领子5cm左右，拉链到胸下方，站立时候衣服保持垂直没回窝，袖口宽。实物领子长，我脖子，拉链勉强过胸，纺线明显炸毛乱七八糟，拉链头变成金属的，衣服底部缩口明显，回窝严重，仿佛有啤酒肚，连茅台五粮液都喝 ​展开c,24分钟前 转赞人数超过60,蔡尹珊珊,1,33,68,https://weibo.com//weibo.com/1660895525/P2ZIct7BY?refer_flag=1001030103_
我从没有谁接谁盘的逻辑思维，如果能涨100倍的茅台，在10倍时有人“接盘”，后面还能赚十倍，你把盘给别人接了，估计会后悔莫及//@马可波罗HT:是不是等各大基金反应过来只能追高？接咱们的卖盘？//@李驰:历史的进步不是创新派战胜了守旧派，而是时间飞逝，一眨眼守旧派已经归西！新生代个个展开c,32分钟前 转赞人数超过100,李驰,5,20,110,https://weibo.com//weibo.com/1244748717/P2XN21rph?refer_flag=1001030103_
你听过三观极正的一句话是什么？1一定要狠下心来努力变成一个很厉害的人，厉害到有一天，你可以随时离开那些令你不舒服的圈子和人，让他们通通羡慕不已。2五粮液从不骂茅台，茅台也从不诋毁五粮液。双双成为世界名酒。人活着发自己的光就行，没必要灭别人的灯。3、我慢慢开始自渡了，变得不悲不 ​展开c,2024-12-03 00:03,用户6368173492,0,0,0,https://weibo.com//weibo.com/6368173492/P33xXFKTt?refer_flag=1001030103_
持有茅台、片仔癀，到永远！无论从近十五年的ROE，还是从受众群体，品类单价、消费频率来说，嘴巴消费的奢侈品，除了茅片，A股再找不出第三家这样的上市公司。这样的企业就算再持有一百年也不会倒闭。但就是成交量、换手率不够，也要被剔除上证50指数。,37分钟前 转赞人数超过10,做只安静孤独的乌龟,5,0,15,https://weibo.com//weibo.com/1941138383/P32Je1iD9?refer_flag=1001030103_
手淘搜【美食】任意浏览3个宝贝，返回弹出领美食补贴茅台 台源53度酱香型白酒500ml*1瓶 88vip【103.51】反40卡茅台台源53度酱香型白酒500ml*1瓶纯粮婚宴收藏​,2024-12-02 23:56,好心天天分享,0,1,0,https://weibo.com//weibo.com/2794284831/P33veuzOV?refer_flag=1001030103_
一天一瓶茅台，生活美滋滋。 ​,2024-12-02 23:51,喝着茅台看世界,0,0,1,https://weibo.com//weibo.com/3824163109/P33t7AmkN?refer_flag=1001030103_
🐱超淘宝搜“美食”，游览三个产品后，部分弹美食补贴茅台台源53度酱香型白酒500ml*1瓶拍1件vip【103.51】返40卡茅台台源53度酱香型白酒500ml*1瓶纯粮婚宴收藏​,50分钟前 转赞人数超过10,蘑菇小牙牙,0,22,11,https://weibo.com//weibo.com/1987241375/P33fedR8R?refer_flag=1001030103_
茅台超话行舟下、虫唤暑（赛龙舟）、微雨纷，都是小酒，各一瓶​,2024-12-02 23:47,湖心亭岛主,0,1,0,https://weibo.com//weibo.com/5684426095/P33rDcK3c?refer_flag=1001030103_
【#相机用5年卖二手还能赚200元#】#热门型号相机堪比理财产品#“2019年入手的富士X-T3，白用了五年不算，出二手卖掉居然小赚了200元钱。”在95后小徐眼里，一些热门机型的数码相机比一些理财产品都赚钱。这些年，智能手机在摄像头上“卷生卷死”，相机一度沉寂。如今部分相机机型却翻红了，热门 ​展开c,2024-12-02 23:40,华夏时报,0,0,0,https://weibo.com//weibo.com/1838672663/P33oF9u4r?refer_flag=1001030103_
品牌是遮羞布，茅台也是。//@深圳Jacky:事实如此。//@非洲行者723:这个我有发言权，我开了两年的taycan电动车，德国制造，十几万镑。科技力不如中国十来万的车，车道保持功能像个傻子，连跟车跑的功能都没有。满电续航夏天也就跑300公里出头。还不让充满，不让亏电，开个不到200公里就要充电。平生买的展开c,2024-12-02 23:30,洪怀懋,1,1,1,https://weibo.com//weibo.com/1243477063/P33kCzKF9?refer_flag=1001030103_
今晚喝小小茅，笑死，太萌了​,2024-12-02 23:28,星星之火投资屋,0,0,1,https://weibo.com//weibo.com/6288519615/P33k5sZF7?refer_flag=1001030103_
顾谦虚超话今日排档记录:⏮️  12-13  《tiktok baby》🦢遇见谦爱意汹涌💖看世间万物都浪漫心动⏮️  13-14  《飞天茅台》谦是🦢¹²⁰⁸最温柔的梦境✨盈满一世界的甜蜜🍯⏮️  14-15  《burn me down》谦是🦢¹²⁰⁸的雨后彩虹🌈夏日春风🍃 ​,2024-12-02 23:27,桃奈er,0,2,0,https://weibo.com//weibo.com/6052118032/P33jEysoI?refer_flag=1001030103_
在首府公馆喝茅台 我这辈子忘不了🙃2乌鲁木齐·首府公馆​,2024-12-02 23:25,露露又瘦啦,0,0,0,https://weibo.com//weibo.com/6504834590/P33iCjvwC?refer_flag=1001030103_
okb一个季度销毁9亿美金一年40亿销毁市值只有100多亿相当于pe只有5倍a股券商500亿打底一年给股东分一块钱你把股东当sb大家会用脚投票整个市场把散户当sb整个市场就应该关门倒闭用户会用脚投票每代人有每代人的ponzi老钱们的茅台是几百块的成本你让刚毕业的大学生2500去梭茅台当然要从202 ​展开c,2024-12-02 23:24,理绪553,0,0,0,https://weibo.com//weibo.com/5084797589/P33idu90D?refer_flag=1001030103_
